,"""id","""""client_id""""","""""mailing_date""""","""""subject""""","""""delivered""""","""""opened"""""
102,"""190859","""""3563""""","""""2015-06-03 00:00:00""""","""""Flash Sale: Gotham 2012 Barossa Shiraz & Mataro | Under $10 | 90 & 93 Halliday Rated | Lowest Price Offered - Starts Now.""""","""""102495""""","""""13939"""""
104,"""190857","""""3563""""","""""2015-06-04 00:00:00""""","""""Normans Old Vine McLaren Vale Shiraz & Cab Sav $7.99 Plus Marlborough Sav Blanc From $5.99.""""","""""102469""""","""""13138"""""
107,"""190853","""""3563""""","""""2015-06-04 00:00:00""""","""""Sell Out Sale: $7.99 Gold Medal McLaren Vale Shiraz.""""","""""2749""""","""""726"""""
110,"""190851","""""3563""""","""""2015-06-05 00:00:00""""","""""Save 52% Off Viking Shiraz | Sub $10 Heathcote Shiraz Plus Rosemount Blends Just $6.99.""""","""""102411""""","""""13085"""""
112,"""190848","""""3563""""","""""2015-06-06 00:00:00""""","""""Clothing Down Sale. We're Dropping Our Pants | Free Freight | 70 Wines | Up To 80% Off.""""","""""102323""""","""""15996"""""
113,"""190849","""""3563""""","""""2015-06-05 00:00:00""""","""""Save 52% Off Viking Shiraz | Sub $10 Heathcote Shiraz Plus Rosemount Blends Just $6.99.""""","""""1820""""","""""589"""""
114,"""190846","""""3563""""","""""2015-06-08 00:00:00""""","""""Gold Medal Winning Limb Under $10 Plus McLaren Vale"","" Coonawarra & Clare Valley From $6.50.""""","""""102254""""","""""13578"""""
115,"""190847","""""3563""""","""""2015-06-06 00:00:00""""","""""Clothing Down Sale. We're Dropping Our Pants | Free Freight | 70 Wines | Up To 80% Off.""""","""""13015""""","""""2282"""""
116,"""190845","""""3563""""","""""2015-06-08 00:00:00""""","""""Gold Medal Winning Limb Under $10 Plus McLaren Vale"","" Coonawarra & Clare Valley From $6.50.""""","""""12534""""","""""1759"""""
117,"""190843","""""3563""""","""""2015-06-07 00:00:00""""","""""Clothing Down Sale Continued. All Stock To Go And Freight Is On Us.""""","""""12558""""","""""1893"""""
119,"""190841","""""3563""""","""""2015-06-07 00:00:00""""","""""7 Hours Remain. Clothing Down Sale | Over 70 Wines With Free Delivery. Shop Now.""""","""""12524""""","""""1799"""""
121,"""190840","""""3563""""","""""2015-06-09 00:00:00""""","""""Buy 1 Get 2 Free | $3.99 A Bottle | Take Your Pick.""""","""""102183""""","""""14586"""""
125,"""190836","""""3563""""","""""2015-06-09 00:00:00""""","""""Flash Sale: Save Yourself $324 Off Tassie Pinot & 50% Off 93 Pt Rated Clare Riesling.""""","""""102154""""","""""14362"""""
127,"""190834","""""3563""""","""""2015-06-10 00:00:00""""","""""Below 1/2 Price 91 Pt Rated Marlborough Plus Paringa $6.99 A Bottle.""""","""""102110""""","""""13012"""""
130,"""190831","""""3563""""","""""2015-06-10 00:00:00""""","""""Margaret River Clearance Lowest Price Offered | Just $5.99 A Btl | 70% Off | Limited Stocks.""""","""""104862""""","""""15857"""""
132,"""190828","""""3563""""","""""2015-06-11 00:00:00""""","""""International Wine Clearance 10 Year Old Spaniard"", French Bubbles,"" Italian Pinot Grigio & More Prices Starting At $6.99.""""","""""2737""""","""""688"""""
136,"""190824","""""3563""""","""""2015-06-12 00:00:00""""","""""Double Gold Medal Basket Press 2012 Shiraz 70% Off | Gold Medal Boreham Woods Marlborough Just $8.99 Saving 62%.""""","""""2735""""","""""683"""""
139,"""190822","""""3563""""","""""2015-06-14 00:00:00""""","""""Lou Miranda Barossa Shiraz Plus Double Gold & 93 Point Rated McLaren Vale Shiraz Final Stock Clearance From $11.99.""""","""""101828""""","""""13386"""""
142,"""190819","""""3563""""","""""2015-06-14 00:00:00""""","""""Clearance Price $12.50 A Bottle Museum Release Martinborough Pinot Noir Plus Classic Australian Bubbles Under $8 A Bottle.""""","""""101811""""","""""13608"""""
145,"""190816","""""3563""""","""""2015-06-12 00:00:00""""","""""VIP Songlines & Sparkling Starts From $8.99 | Free Freight.""""","""""101978""""","""""13622"""""
146,"""190814","""""3563""""","""""2015-06-13 00:00:00""""","""""Under $10 Double Gold Langhorne Creek Shiraz Top 100 Blue Gold Marlborough & Grampians Pinot Noir Plus Free Freight.""""","""""101945""""","""""13425"""""
147,"""190815","""""3563""""","""""2015-06-12 00:00:00""""","""""VIP Songlines & Sparkling Starts From $8.99 | Free Freight.""""","""""12539""""","""""1735"""""
148,"""190813","""""3563""""","""""2015-06-13 00:00:00""""","""""Under $10 Double Gold Langhorne Creek Shiraz Top 100 Blue Gold Marlborough & Grampians Pinot Noir Plus Free Freight.""""","""""2733""""","""""684"""""
150,"""190810","""""3563""""","""""2015-06-15 00:00:00""""","""""New Basket Pressed Hazyblur 62% Off | Trophy & Multi Gold Marlborough Sav Blanc Under $10. Limited Stocks!""""","""""101766""""","""""13172"""""
151,"""190811","""""3563""""","""""2015-06-13 00:00:00""""","""""Under $10 Double Gold Langhorne Creek Shiraz Top 100 Blue Gold Marlborough & Grampians Pinot Noir Plus Free Freight.""""","""""457""""","""""170"""""
152,"""190808","""""3563""""","""""2015-06-15 00:00:00""""","""""New Basket Pressed Hazyblur 62% Off | Trophy & Multi Gold Marlborough Sav Blanc Under $10. Limited Stocks!""""","""""1837""""","""""584"""""
154,"""190807","""""3563""""","""""2015-06-15 00:00:00""""","""""Mad Monday: Free Freight | Grail of Lisa Shiraz | Kaikoura Marlborough Sauv Blanc | From $9.99 A Bottle.""""","""""101710""""","""""14374"""""
156,"""190805","""""3563""""","""""2015-06-16 00:00:00""""","""""Price Smash: Jardim Single Vineyard MVale Shiraz $7.99"","" Margaret River & Adelaide Hills Pinot From $4.99.""""","""""101665""""","""""13500"""""
159,"""190802","""""3563""""","""""2015-06-17 00:00:00""""","""""$6.99 Old Vine Barossa Shiraz Get In Quick.""""","""""101608""""","""""13984"""""
163,"""190798","""""3563""""","""""2015-06-18 00:00:00""""","""""Tassie Pinot Half Price $12.99"","" WA Reds From Jimmy Watson Trophy Winning Winery Plus Gotham Bonus Case Deals.""""","""""101566""""","""""13478"""""
166,"""190795","""""3563""""","""""2015-06-18 00:00:00""""","""""24hr GOLD International Clearance | 3 Year Oak Aged Red & NZ Savy Starting At $6.50""""","""""101534""""","""""14039"""""
169,"""190792","""""3563""""","""""2015-06-19 00:00:00""""","""""French Producer Of The Year Sieur D'Arques Bonus Case | Award Winning Cats Eyes | 5 Star Rosemount | From $6.50 A Bottle.""""","""""101502""""","""""13299"""""
172,"""190788","""""3563""""","""""2015-06-19 00:00:00""""","""""VIP Deal: 2008 FU Lowest Price To Date & Free Delivery. 1 Dozen Per Customer Limit.""""","""""2722""""","""""752"""""
174,"""190786","""""3563""""","""""2015-06-20 00:00:00""""","""""Mixed Dozens For Everyone From $60 A Case | Up To 72% Off.""""","""""101418""""","""""13603"""""
175,"""190787","""""3563""""","""""2015-06-19 00:00:00""""","""""VIP Deal: 2008 FU Lowest Price To Date & Free Delivery. 1 Dozen Per Customer Limit.""""","""""1950""""","""""650"""""
176,"""190785","""""3563""""","""""2015-06-20 00:00:00""""","""""Mixed Dozens For Everyone From $60 A Case | Up To 72% Off.""""","""""2723""""","""""710"""""
179,"""190781","""""3563""""","""""2015-06-21 00:00:00""""","""""Free Case Of Wine On Every Order. Today Only.""""","""""12553""""","""""1928"""""
181,"""11613","""""9""""","""""2014-01-01 00:00:00""""","""""A special offer on the world's best content""""","""""201""""","""""61"""""
183,"""11615","""""9""""","""""2014-01-01 00:00:00""""","""""Discover new content and save 10%""""","""""327""""","""""92"""""
184,"""11616","""""9""""","""""2014-01-01 00:00:00""""","""""Save 10% on everything from photos to music""""","""""168""""","""""44"""""
186,"""11618","""""9""""","""""2014-01-01 00:00:00""""","""""Save on our most popular collections""""","""""197""""","""""45"""""
187,"""11619","""""9""""","""""2014-01-01 00:00:00""""","""""You're out of credits""""","""""159""""","""""101"""""
188,"""11620","""""9""""","""""2014-01-01 00:00:00""""","""""You're running low on credits""""","""""250""""","""""139"""""
189,"""11621","""""9""""","""""2014-01-02 00:00:00""""","""""A special offer on the world's best content""""","""""342""""","""""149"""""
190,"""11622","""""9""""","""""2014-01-02 00:00:00""""","""""Discover new content and save 10%""""","""""311""""","""""116"""""
191,"""11623","""""9""""","""""2014-01-02 00:00:00""""","""""Save 10% on everything from photos to music""""","""""193""""","""""54"""""
193,"""11625","""""9""""","""""2014-01-02 00:00:00""""","""""Save on our most popular collections""""","""""171""""","""""56"""""
195,"""11627","""""9""""","""""2014-01-02 00:00:00""""","""""You're out of credits""""","""""214""""","""""98"""""
